country,year,total_deaths_that_are_from_all_causes__in_both_sexes_aged_all_ages,total_estimated_deaths,difference,share_deaths_with_cause
Australia,2012,147098,148916,-1818,98.77917752
Spain,1973,296524,300203,-3679,98.77449592
Malta,1997,2888,2924,-36,98.76880985
Romania,1960,160720,162724,-2004,98.76846685
Luxembourg,1996,3839,3887,-48,98.76511448
Reunion,2010,4236,4289,-53,98.76428072
Greece,2009,108316,109672,-1356,98.76358597
Barbados,1975,2075,2101,-26,98.76249405
Mauritius,2003,8310,8415,-105,98.75222816
Spain,1971,302869,306754,-3885,98.73351285
Georgia,2009,46625,47224,-599,98.73157716
Mauritius,2013,9231,9350,-119,98.72727273
Portugal,1960,95007,96233,-1226,98.72600875
Spain,1974,295275,299112,-3837,98.71720292
Armenia,2006,27202,27556,-354,98.7153433
Turkmenistan,1994,32067,32487,-420,98.70717518
Barbados,2011,2434,2466,-32,98.70235199
Cuba,1992,75457,76454,-997,98.69594789
Puerto Rico,1990,26146,26492,-346,98.69394534
Malta,1995,2708,2744,-36,98.68804665
Malta,1965,3001,3041,-40,98.68464321
Russia,2002,2332272,2363373,-31101,98.68404183
Greece,1993,97419,98721,-1302,98.68113167
Russia,2014,1878039,1903300,-25261,98.67277886
Uruguay,1968,25986,26340,-354,98.65603645
Serbia,2016,100834,102209,-1375,98.65471729
Uruguay,1970,26440,26802,-362,98.64935453
Puerto Rico,1992,27396,27772,-376,98.64611839
Argentina,1980,241125,244455,-3330,98.6377861
Cuba,1985,64430,65321,-891,98.63596699
Israel,1986,29413,29820,-407,98.6351442
Saint Vincent and the Grenadines,2018,928,941,-13,98.61849097
Venezuela,1973,76506,77593,-1087,98.59910043
Bulgaria,1968,72176,73202,-1026,98.59839895
Estonia,2018,15606,15829,-223,98.59119338
Denmark,2001,57632,58461,-829,98.58196062
Serbia,2017,103722,105220,-1498,98.57631629
Spain,1972,280163,284217,-4054,98.57362508
Mauritius,1997,7798,7911,-113,98.57160915
Guyana,2014,5547,5628,-81,98.56076759
Guatemala,2018,83071,84289,-1218,98.55497159
Hong Kong,1955,19069,19349,-280,98.55289679
Mauritius,2014,9438,9577,-139,98.54860604
Greece,1997,99738,101215,-1477,98.54073013
Bulgaria,1970,77095,78240,-1145,98.53655419
Greece,1995,100158,101651,-1493,98.53124908
Oman,2010,7005,7110,-105,98.52320675
France,1973,550333,558625,-8292,98.51564108
Egypt,2016,556148,564595,-8447,98.50388331
Romania,2015,261294,265287,-3993,98.49483767
Portugal,1970,93093,94520,-1427,98.49026661
Trinidad and Tobago,1992,8533,8664,-131,98.48799631
Argentina,1979,234926,238553,-3627,98.47958315
Russia,1997,2015779,2046908,-31129,98.47921841
Saint Vincent and the Grenadines,1996,777,789,-12,98.47908745
French Guiana,2008,774,786,-12,98.47328244
Romania,1978,211846,215143,-3297,98.4675309
Saint Vincent and the Grenadines,2002,765,777,-12,98.45559846
Spain,1951,322329,327386,-5057,98.45534018
Belize,2014,1587,1612,-25,98.44913151
Brazil,2020,1556824,1581430,-24606,98.44406645
Saint Vincent and the Grenadines,1979,693,704,-11,98.4375
Belarus,1999,142025,144288,-2263,98.431609
Fiji,2005,5952,6047,-95,98.42897304
Romania,1969,201225,204463,-3238,98.41633939
Malta,1988,2734,2778,-44,98.41612671
Guadeloupe,2003,2662,2705,-43,98.4103512
Bulgaria,1971,82805,84143,-1338,98.4098499
Mauritius,1993,7275,7393,-118,98.40389558
Russia,2001,2254856,2291683,-36827,98.39301509
Malta,2008,3243,3296,-53,98.39199029
Grenada,2006,792,805,-13,98.38509317
Russia,1998,1988744,2021523,-32779,98.37849977
Colombia,1967,179676,182646,-2970,98.37390362
Mauritius,2020,11060,11243,-183,98.37232056
Saint Vincent and the Grenadines,1987,664,675,-11,98.37037037
Puerto Rico,1997,28963,29443,-480,98.36973135
Belgium,2006,100102,101772,-1670,98.35907715
Spain,1968,277357,281985,-4628,98.35877795
Spain,1970,280170,284846,-4676,98.35841121
Mauritius,2010,8891,9040,-149,98.35176991
Argentina,2000,277148,281810,-4662,98.34569391
Croatia,1988,52686,53583,-897,98.32596159
Armenia,2014,27714,28187,-473,98.32192145
Spain,1953,273571,278249,-4678,98.31877204
Israel,1982,27601,28073,-472,98.31866918
Greece,1992,98231,99922,-1691,98.30767999
Denmark,2000,57044,58026,-982,98.30765519
Spain,1969,297169,302292,-5123,98.30528099
Spain,1954,259874,264397,-4523,98.28931493
Luxembourg,1994,3727,3792,-65,98.28586498
Greece,1996,100740,102507,-1767,98.27621528
Mauritius,2016,9920,10095,-175,98.26646855
Greece,1994,97807,99541,-1734,98.25800424
Greece,2008,107979,109898,-1919,98.25383537
Greece,2005,105091,106968,-1877,98.24526961
Spain,1956,285510,290621,-5111,98.24135214
Malta,1992,2900,2952,-52,98.23848238
Martinique,2002,2649,2697,-48,98.22024472
Puerto Rico,1994,28443,28961,-518,98.21138773
Argentina,2020,376219,383131,-6912,98.19591732
Greece,1998,102668,104555,-1887,98.19520826
Mauritius,2008,8798,8960,-162,98.19196429
Romania,1961,161936,164923,-2987,98.18885177
Romania,1976,204873,208663,-3790,98.18367415
Guatemala,2017,81726,83252,-1526,98.167011
Russia,1982,1504200,1532600,-28400,98.14693984
Hong Kong,1982,25445,25927,-482,98.14093416
Estonia,2019,15186,15474,-288,98.13881349
Colombia,1960,183102,186589,-3487,98.13118673
Reunion,2016,4714,4804,-90,98.1265612
Israel,1987,29244,29803,-559,98.1243499
Greece,1984,88397,90091,-1694,98.11967899
Belarus,1985,105690,107721,-2031,98.11457376
French Guiana,1978,467,476,-9,98.1092437
Egypt,2012,529233,539487,-10254,98.09930545
Spain,1957,289638,295264,-5626,98.09458654
Kuwait,2013,5909,6024,-115,98.09096946
Barbados,2008,2412,2459,-47,98.08865392
Mauritius,1999,7791,7943,-152,98.08636535
Spain,1959,264497,269666,-5169,98.08318438
Cuba,1988,67944,69272,-1328,98.08291951
Guatemala,1969,85174,86840,-1666,98.08152925
Croatia,1992,51800,52816,-1016,98.0763405
Bulgaria,1972,84174,85828,-1654,98.07288997
Spain,1966,269738,275066,-5328,98.06301033
Greece,1999,103304,105345,-2041,98.06255636
Spain,1952,271657,277036,-5379,98.05837508
Spain,1967,274021,279466,-5445,98.05164134
Egypt,2017,547208,558084,-10876,98.05118943
Romania,1984,233699,238360,-4661,98.04455446
Slovenia,1986,19499,19888,-389,98.04404666
Spain,1958,255900,261010,-5110,98.0422206
Puerto Rico,1987,23950,24433,-483,98.02316539
Kazakhstan,1994,160591,163835,-3244,98.01995911
Trinidad and Tobago,1966,7060,7203,-143,98.01471609
Hong Kong,1966,18697,19076,-379,98.01321032
Chile,2006,85639,87375,-1736,98.01316166
Trinidad and Tobago,1987,8054,8218,-164,98.00438063
Armenia,2017,27125,27679,-554,97.9984826
Cuba,2017,106949,109141,-2192,97.99158886
Egypt,2018,560308,571875,-11567,97.97735519
Lithuania,1981,35579,36314,-735,97.97598722
Latvia,1984,33406,34097,-691,97.97342875
Latvia,1980,32100,32764,-664,97.97338542
Croatia,1987,53080,54180,-1100,97.96973053
Greece,2002,103915,106079,-2164,97.96001094
Malta,2011,3267,3336,-69,97.93165468
Latvia,1982,31234,31894,-660,97.93064526
Greece,2007,109895,112227,-2332,97.92206866
Guadeloupe,2015,2906,2968,-62,97.91105121
Armenia,2003,26014,26572,-558,97.90004516
Latvia,1981,32090,32780,-690,97.89505796
Romania,1985,246670,251980,-5310,97.8926899
Ireland,2010,27122,27707,-585,97.8886202
Israel,1976,24012,24530,-518,97.88830004
Puerto Rico,1999,28967,29593,-626,97.88463488
Thailand,1996,342643,350051,-7408,97.88373694
Mexico,1972,476206,486584,-10378,97.86717196
Croatia,1993,50846,51958,-1112,97.85980985
Mauritius,2011,8951,9147,-196,97.85722095
Uruguay,1981,27607,28212,-605,97.85552247
Guatemala,1975,76747,78433,-1686,97.8503946
Saint Lucia,1977,817,835,-18,97.84431138
Luxembourg,1995,3700,3782,-82,97.83183501
Puerto Rico,1966,17506,17894,-388,97.83167542
Spain,1962,271373,277404,-6031,97.82591455
Greece,2000,105170,107513,-2343,97.82072866
Thailand,2006,391126,399859,-8733,97.81598013
Spain,1955,269298,275345,-6047,97.80384608
Russia,1999,2144316,2192510,-48194,97.80188004
Spain,1965,267407,273446,-6039,97.79152008
Latvia,1983,32329,33062,-733,97.78295324
Puerto Rico,1982,21416,21902,-486,97.78102456
Belize,2009,1453,1486,-33,97.77927322
Latvia,1988,32421,33162,-741,97.76551475
Romania,2002,269666,275845,-6179,97.7599739
Romania,2007,251965,257772,-5807,97.74723399
Turkey,2014,383603,392457,-8854,97.74395666
Russia,2000,2225332,2276886,-51554,97.73576718
Belarus,2000,134867,138003,-3136,97.72758563
Spain,1964,267045,273266,-6221,97.72346358
Greece,2003,105529,107990,-2461,97.72108529
Jamaica,1960,14321,14655,-334,97.72091436
Martinique,2001,2701,2764,-63,97.72069465
Cuba,2019,109089,111637,-2548,97.71760259
Greece,2001,102559,104957,-2398,97.71525482
Russia,1996,2082249,2130984,-48735,97.71302835
Lithuania,1982,35040,35868,-828,97.69153563
North Macedonia,2021,28516,29194,-678,97.67760499
Romania,1964,152476,156115,-3639,97.66902604
Latvia,1986,31328,32077,-749,97.66499361
Latvia,1985,34166,34983,-817,97.66457994
North Macedonia,2000,17253,17666,-413,97.66217593
Romania,1962,172429,176586,-4157,97.64590624
Spain,1963,275499,282141,-6642,97.64585792
Puerto Rico,1981,21069,21578,-509,97.64111595
French Guiana,1973,411,421,-10,97.62470309
Romania,1980,231876,237529,-5653,97.62008007
Romania,1989,247306,253365,-6059,97.6085884
Estonia,2021,18375,18826,-451,97.60437693
Puerto Rico,1979,20412,20914,-502,97.59969398
Trinidad and Tobago,1988,8036,8234,-198,97.59533641
Argentina,1984,254452,260774,-6322,97.57567856
Thailand,2016,469085,480792,-11707,97.56505932
Latvia,1989,32584,33401,-817,97.55396545
Spain,1961,256394,262841,-6447,97.54718632
Kuwait,1986,4383,4494,-111,97.53004005
Philippines,2016,582183,597012,-14829,97.51613033
Bulgaria,1974,85239,87412,-2173,97.51407129
Romania,1967,179129,183701,-4572,97.51117305
North Macedonia,1999,16789,17218,-429,97.50842142
Romania,1970,193255,198201,-4946,97.50455346
Puerto Rico,2005,29531,30287,-756,97.50387955
Guatemala,2014,77807,79799,-1992,97.50372812
Serbia,2018,101655,104262,-2607,97.4995684
Greece,2004,104942,107635,-2693,97.49802574
Puerto Rico,2017,30777,31567,-790,97.49738651
Romania,1983,233892,239922,-6030,97.48668317
Kyrgyzstan,2007,38181,39167,-986,97.48257462
Bulgaria,1973,81470,83584,-2114,97.47080781
Latvia,1987,32150,32985,-835,97.46854631
Guyana,2017,5581,5726,-145,97.46769123
Turkey,2015,396971,407307,-10336,97.4623564
North Macedonia,2001,16919,17361,-442,97.45406371
Greece,1980,87282,89568,-2286,97.4477492
Trinidad and Tobago,1973,7517,7714,-197,97.44620171
Slovenia,1985,19854,20379,-525,97.42381864
Mauritius,2012,9103,9344,-241,97.42080479
Chile,2009,91965,94401,-2436,97.41951886
Serbia,2019,101458,104149,-2691,97.41620179
North Macedonia,1998,16870,17318,-448,97.4130962
Armenia,2007,26830,27544,-714,97.40778391
Romania,1963,155767,159934,-4167,97.39455025
Barbados,1978,2050,2105,-55,97.3871734
Argentina,1987,247868,254525,-6657,97.38453983
Puerto Rico,1986,23386,24016,-630,97.37674883
Saint Vincent and the Grenadines,2017,886,910,-24,97.36263736
Kuwait,2015,6481,6657,-176,97.35616644
Armenia,2008,27412,28158,-746,97.35066411
Mauritius,2005,8422,8652,-230,97.34165511
Hong Kong,1957,19357,19886,-529,97.33983707
Cuba,1995,77937,80081,-2144,97.32271076
Cuba,2001,79395,81581,-2186,97.32045452
Puerto Rico,2016,29338,30146,-808,97.31971074
Japan,1951,838998,862235,-23237,97.30502705
French Guiana,2003,721,741,-20,97.30094467
Guadeloupe,2001,2608,2681,-73,97.2771354
Israel,1988,29176,29995,-819,97.26954492
Cuba,2020,112449,115622,-3173,97.25571258
Romania,1987,254286,261470,-7184,97.25245726
Guyana,2010,5433,5587,-154,97.24360122
Costa Rica,1995,14062,14461,-399,97.24085471
Puerto Rico,1976,19893,20458,-565,97.23824421
Romania,1988,253370,260571,-7201,97.23645379
Argentina,1997,270910,278640,-7730,97.22581108
Turkmenistan,1993,31171,32064,-893,97.21494511
Kyrgyzstan,2012,36186,37223,-1037,97.21408806
Colombia,1965,178372,183487,-5115,97.21233657
Jamaica,2012,15624,16075,-451,97.19440124
Greece,1981,86261,88752,-2491,97.19330269
Bulgaria,1975,89974,92583,-2609,97.18198805
Latvia,1995,38931,40064,-1133,97.17202476
Latvia,1996,34320,35322,-1002,97.16324104
Latvia,1998,34200,35199,-999,97.16185119
Japan,1956,724460,745631,-21171,97.1606599
Luxembourg,2021,4217,4341,-124,97.14351532
Japan,1957,752445,774572,-22127,97.1433256
Romania,1972,189793,195391,-5598,97.13497551
Mongolia,2021,19931,20520,-589,97.12962963
Japan,1954,721491,742817,-21326,97.12903717
Mauritius,2000,7806,8037,-231,97.12579321
Japan,1955,693523,714063,-20540,97.12350311
Belarus,1993,128544,132354,-3810,97.12135636
Antigua and Barbuda,1961,503,518,-15,97.1042471
Luxembourg,2011,3722,3833,-111,97.10409601
Latvia,1999,32844,33824,-980,97.10264901
Thailand,2019,494339,509091,-14752,97.10228623
Guatemala,2013,76639,78929,-2290,97.09865829
Puerto Rico,2004,28912,29777,-865,97.09507338
Cuba,2010,91065,93794,-2729,97.09043222
Jamaica,2005,17349,17869,-520,97.08993228
Spain,1960,262260,270174,-7914,97.07077661
Japan,1952,765068,788162,-23094,97.06989172
North Macedonia,1993,15591,16062,-471,97.067613
Romania,1977,208685,214993,-6308,97.06595098
Latvia,2009,29937,30842,-905,97.06568964
Croatia,1986,51740,53306,-1566,97.0622444
Sri Lanka,1982,92244,95036,-2792,97.06216592
Romania,1986,242330,249689,-7359,97.0527336
Montenegro,2001,5431,5596,-165,97.05146533
Latvia,1994,41757,43030,-1273,97.04159888
Maldives,2002,1082,1115,-33,97.04035874
Puerto Rico,1991,26328,27132,-804,97.03670942
Puerto Rico,1977,19895,20503,-608,97.03458031
Saint Kitts and Nevis,1999,425,438,-13,97.03196347
Croatia,1994,49482,50997,-1515,97.02923701
Mongolia,2019,17208,17738,-530,97.01206449
Japan,1959,689932,711205,-21273,97.0088793
Brazil,2019,1349801,1391436,-41635,97.00776751
Japan,1953,772547,796456,-23909,96.99807648
Bahamas,1998,1776,1831,-55,96.99617695
North Macedonia,1992,16022,16519,-497,96.9913433
Cuba,1998,77565,79989,-2424,96.96958332
Brazil,2017,1312664,1353694,-41030,96.96903436
Luxembourg,2003,3930,4053,-123,96.96521095
Romania,1973,203559,209965,-6406,96.94901531
Latvia,1997,33533,34589,-1056,96.94700627
Estonia,2020,15686,16180,-494,96.94684796
Latvia,2007,33056,34098,-1042,96.94410229
Mauritius,2002,8081,8336,-255,96.94097889
Cuba,2015,99691,102842,-3151,96.9360767
Latvia,2000,32205,33223,-1018,96.93585769
Mongolia,2018,17330,17878,-548,96.93478018
Lithuania,1985,39169,40411,-1242,96.9265794
Belarus,2001,140299,144755,-4456,96.92169528
Israel,1990,28734,29648,-914,96.91716136
Saint Kitts and Nevis,1977,502,518,-16,96.91119691
Greece,1982,86345,89098,-2753,96.91014389
Romania,1982,224120,231277,-7157,96.90544239
Japan,1950,904876,933809,-28933,96.90161478
Bulgaria,1976,88348,91182,-2834,96.89193042
Hong Kong,1975,21191,21871,-680,96.89086004
Latvia,1991,34778,35896,-1118,96.88544685
Reunion,2006,4322,4461,-139,96.8841067
Brazil,2016,1309774,1351923,-42149,96.88229285
Mauritius,2015,9496,9803,-307,96.86830562
Luxembourg,2001,3587,3703,-116,96.86740481
Seychelles,2021,925,955,-30,96.85863874
Latvia,1992,35430,36584,-1154,96.84561557
Barbados,2007,2362,2439,-77,96.84296843
Luxembourg,2002,3603,3721,-118,96.82880946
Croatia,1989,52569,54296,-1727,96.81928687
Latvia,2008,31031,32053,-1022,96.8115309
Barbados,2000,2429,2509,-80,96.81147868
Japan,1958,684189,706738,-22549,96.80942584
Dominica,2018,576,595,-19,96.80672269
Belarus,2002,146658,151510,-4852,96.79757112
Russia,1995,2203811,2276818,-73007,96.79346351
Latvia,1993,39229,40529,-1300,96.79242024
Mauritius,2004,8259,8533,-274,96.78893707
Egypt,2019,570580,589548,-18968,96.78261991
Latvia,2006,33115,34218,-1103,96.77655035
Greece,2006,104968,108465,-3497,96.7759185
Saint Kitts and Nevis,1987,479,495,-16,96.76767677
Malta,2007,3111,3215,-104,96.7651633
Uruguay,1975,27436,28354,-918,96.76236157
Lithuania,2008,43832,45301,-1469,96.75724598
Latvia,1990,34812,35984,-1172,96.74299689
Japan,1960,706599,730473,-23874,96.73170672
Barbados,1980,2012,2080,-68,96.73076923
Lithuania,2009,42032,43454,-1422,96.72757399
Croatia,2008,52151,53919,-1768,96.72100744
Latvia,2001,32991,34111,-1120,96.71660168
Turkmenistan,1996,32266,33362,-1096,96.71482525
Luxembourg,1992,3880,4012,-132,96.70987039
Trinidad and Tobago,1960,6608,6833,-225,96.70715645
Hong Kong,2015,46757,48357,-1600,96.69127531
Latvia,2010,30079,31115,-1036,96.6704162
Chile,2010,97930,101306,-3376,96.66752216
Venezuela,1975,74574,77148,-2574,96.66355576
Cuba,1977,55957,57889,-1932,96.66257838
Barbados,2009,2363,2445,-82,96.64621677
Croatia,2010,52096,53905,-1809,96.64409609
Bulgaria,1977,94362,97646,-3284,96.636831
Japan,1961,695644,719858,-24214,96.63628104
Lithuania,2010,42120,43587,-1467,96.63431757
Serbia,2020,116850,120926,-4076,96.62934357
Cuba,2005,84824,87791,-2967,96.6203825
Luxembourg,2016,3858,3993,-135,96.6190834
Thailand,2002,380364,393681,-13317,96.61731199
Philippines,2018,590709,611429,-20720,96.61121733
Romania,1975,197538,204478,-6940,96.60599184
Lithuania,2007,45624,47227,-1603,96.60575518
Lithuania,1986,35788,37046,-1258,96.60422178
Kuwait,1994,3464,3586,-122,96.59788065
Chile,1955,87843,90942,-3099,96.59233358
Croatia,2009,52414,54280,-1866,96.56226971
Costa Rica,1994,13314,13788,-474,96.56222802
Belize,1997,1175,1217,-42,96.54889071
Grenada,1991,699,724,-25,96.54696133
Croatia,2007,52367,54240,-1873,96.54682891
Antigua and Barbuda,2006,474,491,-17,96.53767821
Reunion,2003,4041,4186,-145,96.53607262
Romania,1974,191286,198154,-6868,96.5340089
Japan,1962,710265,735811,-25546,96.52818455
Hong Kong,2014,45710,47357,-1647,96.52216145
Jamaica,2013,15886,16460,-574,96.5127582
Armenia,2012,27600,28598,-998,96.51024547
Belarus,2003,143203,148407,-5204,96.49342686
Japan,1966,670342,694705,-24363,96.49304381
Barbados,1995,2500,2591,-91,96.48784253
Kazakhstan,1993,156317,162029,-5712,96.47470515
Japan,1963,670770,695302,-24532,96.47174897
Croatia,2005,51790,53686,-1896,96.46835302
Saint Lucia,2014,1302,1350,-48,96.44444444
Kyrgyzstan,2008,37711,39106,-1395,96.43277246
Saint Vincent and the Grenadines,2001,755,783,-28,96.42401022
Croatia,2006,50378,52250,-1872,96.41722488
Trinidad and Tobago,1990,8196,8501,-305,96.4121868
Puerto Rico,2000,28365,29425,-1060,96.39762107
Cuba,1997,77316,80209,-2893,96.39317284
Croatia,2011,51019,52934,-1915,96.38228738
Romania,1971,194306,201621,-7315,96.3719057
Croatia,1997,51964,53925,-1961,96.36346778
Dominica,1971,662,687,-25,96.36098981
Luxembourg,2014,3705,3845,-140,96.35890767
Kuwait,1987,4287,4449,-162,96.3587323
Croatia,1990,52192,54170,-1978,96.3485324
Luxembourg,1998,3743,3885,-142,96.34491634
Grenada,2015,869,902,-33,96.34146341
Mauritius,1991,6815,7074,-259,96.33870512
Reunion,2012,4180,4339,-159,96.33556119
Luxembourg,1997,3766,3910,-144,96.31713555
Latvia,2004,32041,33267,-1226,96.31466619
Lithuania,2006,44813,46529,-1716,96.31197748
Panama,2014,18171,18867,-696,96.31101924
Latvia,2002,32498,33744,-1246,96.3074917
Luxembourg,2000,3623,3762,-139,96.30515683
South Korea,1994,230677,239551,-8874,96.29556963
Japan,1964,673067,698965,-25898,96.29480732
Latvia,2003,32437,33686,-1249,96.29222823
Kuwait,1984,4544,4719,-175,96.2915872
Panama,2017,19482,20234,-752,96.28348325
Lithuania,1996,42896,44556,-1660,96.27435138
Hong Kong,1960,19145,19887,-742,96.26891939
Japan,1973,709416,736935,-27519,96.26574935
Uruguay,1959,23517,24431,-914,96.25885146
Trinidad and Tobago,1980,7506,7798,-292,96.25545012
Latvia,2011,28550,29661,-1111,96.25434072
Latvia,2005,32777,34053,-1276,96.25289989
Lithuania,2005,43799,45505,-1706,96.25096143
Antigua and Barbuda,2001,462,480,-18,96.25
Japan,1974,710510,738200,-27690,96.24898402
Panama,2013,17767,18462,-695,96.23551078
Guyana,2011,5391,5602,-211,96.23348804
Lithuania,1994,46486,48307,-1821,96.23035999
Luxembourg,2015,3839,3990,-151,96.21553885
Lithuania,1995,45306,47090,-1784,96.21150987
Bulgaria,1978,92445,96092,-3647,96.20467885
Thailand,2007,393254,408809,-15555,96.19504463
Latvia,2012,29054,30206,-1152,96.18618817
Cuba,2014,96330,100151,-3821,96.18476101
Lithuania,1987,36917,38382,-1465,96.18310666
Israel,1989,28580,29718,-1138,96.17067097
Puerto Rico,1980,20412,21226,-814,96.16508056
Uruguay,1965,24771,25759,-988,96.16444738
Brazil,2018,1316719,1369336,-52617,96.15748071
Jamaica,1961,14193,14761,-568,96.15202222
Barbados,1993,2421,2518,-97,96.1477363
Brazil,2014,1227039,1276208,-49169,96.14725813
Uruguay,1982,27172,28261,-1089,96.14663317
Puerto Rico,1973,19257,20029,-772,96.1455889
Japan,1975,702275,730464,-28189,96.14094603
Mauritius,1995,7298,7591,-293,96.14016599
Luxembourg,2005,3481,3621,-140,96.13366473
Hong Kong,2010,42699,44420,-1721,96.12561909
Croatia,1985,52067,54167,-2100,96.12310078
Luxembourg,2009,3530,3673,-143,96.10672475
Lithuania,2004,41340,43016,-1676,96.10377534
Cuba,1991,71709,74625,-2916,96.09246231
Croatia,1999,51953,54067,-2114,96.09003644
Lithuania,2003,40990,42662,-1672,96.08082134
Croatia,1998,52311,54445,-2134,96.08044816
Panama,2010,16542,17219,-677,96.06829665
Montenegro,2003,5704,5938,-234,96.05927922
Mauritius,1994,7234,7531,-297,96.05630062
Luxembourg,2006,3623,3772,-149,96.04984093
Japan,1976,703270,732200,-28930,96.04889374
Croatia,2012,51710,53843,-2133,96.03848225
Puerto Rico,1985,23192,24149,-957,96.03710299
Japan,1965,700438,729342,-28904,96.03697579
North Macedonia,1997,16596,17281,-685,96.03610902
Thailand,2000,365583,380684,-15101,96.03319288
Colombia,1974,163096,169838,-6742,96.03033479
Georgia,2019,46659,48588,-1929,96.02988392
Bahrain,1988,1523,1586,-63,96.02774275
North Macedonia,1991,14789,15401,-612,96.02623206
Lithuania,2011,41037,42738,-1701,96.01993542
Reunion,2015,4531,4719,-188,96.01610511
Cuba,1987,65079,67782,-2703,96.01221563
Peru,2020,233997,243717,-9720,96.01176775
Georgia,2020,50537,52643,-2106,95.99946812
North Macedonia,1995,16338,17020,-682,95.99294947
Japan,1977,690074,718893,-28819,95.99119758
Lithuania,1997,41143,42863,-1720,95.98721508
Panama,2012,17350,18078,-728,95.97300586
Venezuela,1990,90072,93872,-3800,95.95193455
Croatia,2004,49756,51858,-2102,95.94662347
Lithuania,1992,41455,43207,-1752,95.94510149
Venezuela,1982,78329,81640,-3311,95.94439
Costa Rica,1997,14260,14864,-604,95.93649085
Kazakhstan,1998,154314,160879,-6565,95.91929338
Japan,1978,695821,725432,-29611,95.91815635
Japan,1979,689664,719085,-29421,95.90855045
Lithuania,1993,46107,48075,-1968,95.90639626
Japan,1968,686555,715869,-29314,95.90511672
Romania,1981,224635,234254,-9619,95.89377343
Kyrgyzstan,2015,34809,36301,-1492,95.88992039
Croatia,2013,50386,52547,-2161,95.8874912
Maldives,2007,1119,1167,-48,95.88688946
Colombia,1963,176898,184487,-7589,95.88643102
Japan,1969,693787,723559,-29772,95.885339
